SITE,JAWL,BVOL
1.0,0.388,0.1073
1.0,0.4003,0.07
1.0,0.3233,0.0655
1.0,0.3316,0.0716
1.0,0.3254,0.1703
1.0,0.3331,0.0885
1.0,0.4877,0.2993
1.0,0.4211,0.2814
1.0,0.3782,0.1886
2.0,0.0935,0.0075
2.0,0.0801,0.0148
2.0,0.098,0.0091
2.0,0.0876,0.0056
2.0,0.0958,0.0232
2.0,0.0788,0.0033
2.0,0.0797,0.0039
2.0,0.0922,0.0102
2.0,0.0891,0.004
3.0,0.1539,0.0243
3.0,0.1342,0.014
3.0,0.0827,0.0085
3.0,0.1618,0.0381
3.0,0.0834,0.0066
3.0,0.1223,0.0073
3.0,0.175,0.0588
3.0,0.1007,0.0064
4.0,0.0958,0.006
4.0,0.1192,0.0145
4.0,0.0991,0.0128
4.0,0.1012,0.0101
4.0,0.0885,0.0054
4.0,0.1268,0.0132
4.0,0.1654,0.0157
4.0,0.1038,0.0084
4.0,0.0958,0.0089
4.0,0.0872,0.0051
5.0,0.2137,0.0219
5.0,0.24,0.0631
5.0,0.1877,0.0273
5.0,0.1988,0.0331
5.0,0.2751,0.1095
5.0,0.2503,0.0711
5.0,0.2122,0.0624
5.0,0.2476,0.0366
5.0,0.3278,0.0703
6.0,0.0735,0.0028
6.0,0.1008,0.0112
6.0,0.1129,0.0123
6.0,0.0989,0.012
7.0,0.0629,0.0038
7.0,0.0748,0.005
7.0,0.0657,0.0023
7.0,0.0618,0.0032
7.0,0.0466,0.0015
7.0,0.0984,0.0071
7.0,0.0484,0.0019
7.0,0.0715,0.0054
8.0,0.4636,0.37
8.0,0.4382,0.1717
8.0,0.4527,0.2098
8.0,0.4825,0.107
8.0,0.4818,0.1855
8.0,0.4792,0.262
8.0,0.3448,0.1609
8.0,0.356,0.1616
8.0,0.4347,0.2889
8.0,0.4099,0.2084
8.0,0.3658,0.1156
8.0,0.3836,0.1613
8.0,0.5705,0.2698
8.0,0.5203,0.0901
8.0,0.5102,0.3049
8.0,0.2737,0.0843
9.0,0.0568,0.0019
9.0,0.0709,0.0042
9.0,0.0413,0.0039
9.0,0.0478,0.0012
9.0,0.0512,0.0023
9.0,0.0432,0.0033
9.0,0.0484,0.0008
