"activity","pressure"
6.5,5
6.3,5
7.8,5
0.6,5
0.9,5
10.3,5
3,20
7.9,20
5.6,20
0,20
2.1,20
8.4,20
7.9,45
12.8,45
11.8,45
4.9,45
7,45
13.3,45
13.8,55
11.8,55
17.1,55
8.5,55
17.5,55
21.8,55
16.3,85
15.7,85
20.7,85
27,85
28.4,85
27.5,85
40.6,100
40,100
45,100
51.3,100
53.4,100
51.8,100
50.7,125
50.1,125
53.5,125
61.4,125
62.8,125
61.9,125
56.5,140
61.2,140
68.5,140
61.8,140
59.1,140
49.5,140
81.4,165
74.7,165
72.7,165
63,165
70,165
65.7,165
62.8,175
62.5,175
67.2,175
73.5,175
75.6,175
74,175
76.7,210
66.9,210
66.9,210
80.4,210
70,210
69.9,210
70.9,230
75.5,230
82.9,230
76.2,230
73.5,230
64.4,230
67.5,250
81.3,250
77.2,250
64.4,250
66.7,250
77.9,250
