BYIELD,BSPACE,BVARIETY,BBLOCK
56.0,1.0,1.0,1.0
45.0,1.0,1.0,2.0
43.0,1.0,1.0,3.0
46.0,1.0,1.0,4.0
60.0,2.0,1.0,1.0
50.0,2.0,1.0,2.0
45.0,2.0,1.0,3.0
48.0,2.0,1.0,4.0
66.0,3.0,1.0,1.0
57.0,3.0,1.0,2.0
50.0,3.0,1.0,3.0
50.0,3.0,1.0,4.0
65.0,1.0,2.0,1.0
61.0,1.0,2.0,2.0
60.0,1.0,2.0,3.0
63.0,1.0,2.0,4.0
60.0,2.0,2.0,1.0
58.0,2.0,2.0,2.0
56.0,2.0,2.0,3.0
60.0,2.0,2.0,4.0
53.0,3.0,2.0,1.0
53.0,3.0,2.0,2.0
48.0,3.0,2.0,3.0
55.0,3.0,2.0,4.0
60.0,1.0,3.0,1.0
61.0,1.0,3.0,2.0
50.0,1.0,3.0,3.0
53.0,1.0,3.0,4.0
62.0,2.0,3.0,1.0
68.0,2.0,3.0,2.0
67.0,2.0,3.0,3.0
60.0,2.0,3.0,4.0
73.0,3.0,3.0,1.0
77.0,3.0,3.0,2.0
77.0,3.0,3.0,3.0
65.0,3.0,3.0,4.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
