COLUMN,ROW,TREATMT,SEEDS
1.0,1.0,1.0,120.0
1.0,2.0,4.0,88.0
1.0,3.0,3.0,131.0
1.0,4.0,2.0,126.0
2.0,1.0,2.0,138.0
2.0,2.0,1.0,119.0
2.0,3.0,4.0,87.0
2.0,4.0,3.0,134.0
3.0,1.0,4.0,93.0
3.0,2.0,3.0,107.0
3.0,3.0,2.0,98.0
3.0,4.0,1.0,107.0
4.0,1.0,3.0,128.0
4.0,2.0,2.0,90.0
4.0,3.0,1.0,87.0
4.0,4.0,4.0,89.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
